Text,Label
હું કંઈક પર કામ કરી રહ્યો છું.,2
હું એક પોસાય તેવી રીતે ખોરાક લઈ રહ્યો હતો.,2
આ કાર્યને સરાહવા યોગ્ય છે.,1
તમને સકારાત્મક પ્રવૃત્તિઓમાં રસ છે.,1
મારે કોઈ મત નથી.,2
આજનો દિવસ સારો નથી,0
હું અહીં મળવા આવ્યો છું.,2
તે મારા માટે યોગ્ય પસંદગી નથી.,2
તે એક સારી છોકરી છે,1
તે ખૂબ જ ઠંડા વાતાવરણમાં સક્રિય છે.,2
"સૂર્ય ચમકે છે, હવા તાજી લાગે છે, અને મારી આસપાસની દરેક વસ્તુ જીવન કેટલું સુંદર હોઈ શકે છે તે અનુભવ અપાવે છે.",1
આજે નવા મહિનાની શરૂઆત થઈ રહી છે.,2
મને આ પસંદ આવ્યું.,1
આ સોમવાર ખરાબ નથી,1
તે કંઈક વાંચી રહી હતી.,2
"તમે શ્રેષ્ઠ છો, અને શ્રેષ્ઠ વસ્તુઓ તમારા જીવનમાં આવશે.",1
તેને ચા પીવાનું પસંદ નથી.,0
તેણીને રસોઇ કેવી રીતે કરવી તે આવડતું નથી.,0
તમારી પ્રેરણાદાયી દ્રષ્ટિ દરેકને પ્રેરણા આપે છે.,1
તમારો સ્વભાવ હંમેશા આનંદ અને ખુશી આપે છે.,1
તે બધા કામ સમાપ્ત કર્યા છે.,2
તે માફી માંગવા તૈયાર નથી.,0
તમે જે પણ કામ કરો છો તેમાં તમે શ્રેષ્ઠ છો.,1
હું મોટે ભાગે સારું જોઉં છું.,2
તેણે જે કર્યું તેના માટે તેણી તેને માફ કરશે નહીં.,0
તે સખત મહેનતમાં માનતો નથી.,0
સકારાત્મક વિચારોથી ભવિષ્ય ઉજ્જવળ બને છે.,1
આનંદકારક રહેવું સારું છે.,1
મારે આજે સાઇટ વિઝિટ પર જવાનું હતું.,2
આજે સોમવાર છે,2
"તમારી મહેનત, પ્રયાસ અને સમર્પણનું પરિણામ સારું આવશે.",1
તમારી પ્રેરણા આત્મવિશ્વાસ સાથે છે.,1
તેઓ પાર્ટીમાં આવતા નથી.,0
હું જલ્દી પાછો આવીશ.,2
તમારું જીવન આનંદ અને પ્રેમથી ભરેલું છે.,1
તમારો હેતુ અન્ય લોકો માટે આશીર્વાદરૂપ છે.,1
"હું શાંતિ અને સંતોષની ભાવનાથી ભરપૂર છું, એ જાણીને કે હું મારા સપના તરફના સાચા માર્ગ પર છું.",1
"આજે, હું આરામ કરવાનું ચાલુ રાખીશ.",2
"મને લાગે છે કે મારી પાસે વિકલ્પો અને શક્તિ ખતમ થઈ ગઈ છે, અને હું ગમે તેટલો પ્રયત્ન ચાલુ રાખવાનો પ્રયત્ન કરું, આશાવાદી રહેવું મુશ્કેલ થઈ રહ્યું છે.",0
તે એક રેસ્ટોરેન્ટમાં જઇ રહી હતી.,2
હું ક્યાંક જઈ રહ્યો હતો.,2
"હું સપ્તાહાંતની આતુરતાથી રાહ જોઈ રહ્યો છું, જોકે મારી પાસે કોઈ મોટી યોજનાઓ નથી - તે મોટે ભાગે આરામ કરવાની અને નાના કાર્યોની સંભાળ લેવાની તક છે.",2
તે ગુરુવારથી વિદેશ જવાના છે.,2
મને કોઈ સંતોષ ન મળ્યો.,0
હું આ પરિસ્થિતિ સ્વીકારું છું.,2
તમારો દયાળુ પરિચય લોકોને આશા આપે છે.,1
અમે મીટિંગ દરમિયાન કોઈ ખલેલ પહોંચાડવા દઈશું નહીં.,0
તે આવતીકાલે બેઠકમાં ભાગ લેશે નહીં.,0
હું પણ તને મળવા તૈયાર છું.,2
તે સમજી શકતો નથી કે હું શું કહું છું.,0
તમારી પ્રેરણા વિશ્વને પસંદ આવશે.,1
તે રોજ શાળાએ જતી.,2
હું આજે બીમાર રહેવાનો હતો.,2
તમે આજે સવારના આકાશની જેમ ચમકી રહ્યા છો.,1
તે ત્રણ ભાષા બોલી શકતો નથી.,0
તમારી શક્તિ અને શક્તિની દરેક વ્યક્તિ દ્વારા પ્રશંસા કરવામાં આવે છે.,1
હું મારું વૉલેટ શોધી શકતો નથી.,0
હું બજારમાં ગયો હતો.,2
તે આજે ઘરની અંદર છે.,2
મારી પાસે વીકએન્ડ માટે કોઈ પ્લાન નથી.,0
અમે એક સામાન્ય દિવસ પસાર કર્યો.,2
તે આ ટેક્નોલોજી વિશે વધુ જાણવા માંગે છે.,2
તે ક્યારેય કોઈનું સાંભળતો નથી.,0
હું કંઈક વિચારતો હતો.,2
"મને આજે બપોરે થોડા કલાકો આરામ કરવાનો મોકો મળ્યો, અને હવે હું સાંજની તૈયારી કરી રહ્યો છું, કંઈ ખાસ આયોજન નથી.",2
તમારું વલણ સકારાત્મક છે.,1
"આજે, હું જેના પર મને ખુશ કરે છે તેના પર ધ્યાન કેન્દ્રિત કરીશ, અને મને વિશ્વાસ છે કે હું જ્યાં પણ જઈશ ત્યાં સકારાત્મકતા મને અનુસરશે.",1
"મેં સમાચારો જાણવામાં થોડો સમય પસાર કર્યો, અને જ્યારે ત્યાં ઘણું બધું થઈ રહ્યું છે, ત્યારે એવું લાગતું નથી કે કંઈપણ માટે તાત્કાલિક પગલાંની જરૂર છે.",2
અમે હજુ સ્થળ નક્કી કર્યું નથી.,0
"આ સવારનો સફર બહુ ખરાબ ન હતો, બસ થોડો ટ્રાફિક હતો, પરંતુ હું તેમ છતાં ઓફિસે સમયસર પહોંચ્યો હતો.",2
હું આ શહેરમાં ક્યારેય ગયો નથી.,0
"તમારું લક્ષ્ય સ્પષ્ટ છે, અને તમે તેને પ્રાપ્ત કરશો.",1
તમારું ભવિષ્ય ઉજ્જવળ છે.,1
"મેં બપોરનો સમય કેટલાક પ્રોજેક્ટ્સ પર કામ કરવામાં વિતાવ્યો, અને જ્યારે મેં બધું પૂરું કર્યું ન હતું, ત્યારે મેં થોડી પ્રગતિ કરી.",2
પૂરતા પૈસા વિના અમે આ પ્રોજેક્ટ સાથે આગળ વધી શકતા નથી.,0
તમે અદ્ભુત કામ કર્યું.,1
"મેં આ અઠવાડિયે શું કરવાની જરૂર છે તેની યાદી બનાવી છે; તે જબરજસ્ત નથી, પરંતુ ટોચ પર રહેવા માટે કેટલીક વસ્તુઓ છે.",2
હું થોડીવાર મૌન રહ્યો.,2
તે એક ખરાબ છોકરી છે,0
તમે આને વધુ સારું કરી શકતા.,0
મને તમારું સહકાર પસંદ આવ્યું.,1
આ કેળવણી છે.,2
તમારી શ્રેષ્ઠતા ચમકતી રહે છે.,1
તમારી સાચી વિશ્વસનીયતા હંમેશા તમારી સાથે રહેશે.,1
આ એક સામાન્ય દિવસ છે.,2
"હું વિશ્વાસ કરી શકતો નથી કે આ નવું ઉત્પાદન કેટલું 'અદ્ભુત' છે, તે ચોક્કસપણે મારી અપેક્ષા મુજબ નથી.",0
મેં એ ફિલ્મ હજી જોઈ નથી.,0
આ મકાન સુંદર છે.,2
તે ક્યારેય મારી સલાહ સાંભળતો નથી.,0
તે બહુ બોલતી નથી.,0
તે હંમેશા મારા માતા-પિતાને ખોટું બોલે છે.,0
હું આજે અહીં આરામ કરું છું.,2
તમારું વલણ ભવિષ્ય માટે અનુકૂળ છે.,1
તે ઓવરટાઇમ કામ કરવા માંગતો નથી.,0
હું હંમેશા મારા મિત્રો સાથે જૂઠું બોલું છું.,0
તેઓ પરિસ્થિતિને સમજી શકતા નથી.,0
આવો અનુભવ ખરાબ છે.,0
તમે બહુ સારું કર્યું.,1
દરેક સંકટમાં તમારો આત્મવિશ્વાસ અમૂલ્ય છે.,1
તમે નાના અવરોધોમાંથી જ્ઞાન મેળવી રહ્યા છો.,1
તેઓ આજે કામ કરવા માંગતા નથી.,0
"જ્યારે મૂવીમાં થોડીક ખામીઓ હતી, તેમ છતાં તે ત્યાંની મોટા ભાગની ફિલ્મોની તુલનામાં શ્રેષ્ઠ કૃતિ હતી.",1
તમારી ખુશી અન્ય લોકો માટે પ્રેરણા છે.,1
મને નિરાશા છે.,0
હું દવાખાને ગયો હતો.,2
તે આજે ત્યાં નહીં આવી.,2
તમારું દયાળુ હૃદય સવારના સૂર્ય જેવું છે.,1
તેને રમત રમવામાં રસ નથી.,0
તમારી વિશ્વસનીય દ્રષ્ટિ અન્ય લોકોને પ્રેરણા આપે છે.,1
આજે એક નવી શરૂઆત છે.,1
તમે કરેલા પ્રયત્નો સારા પરિણામ લાવશે.,1
તમે ખરાબ કર્યું.,0
"મને મારી પ્રગતિ પર ગર્વ છે, અને હું આત્મવિશ્વાસ સાથે આગળ વધવાનું ચાલુ રાખતાં આ પ્રવાસ મને ક્યાં લઈ જાય છે તે જોવા માટે ઉત્સાહિત છું.",1
તેણીને અત્યારે બહાર જવાનું મન થતું નથી.,0
મને સવારે વહેલું જાગવું ગમતું નથી.,0
હું હંમેશા મહત્વપૂર્ણ તારીખો ભૂલી જાઉં છું.,0
દરેક વ્યક્તિ તમારા સમર્થન માટે આભારી છે.,1
મને આ ખોરાક ગમતો નથી.,0
તે તેના દોસ્તો સાથે બેઠો હતો.,2
અમને અત્યારે વધુ મદદની જરૂર નથી.,0
તે સૌથી જૂના સ્મારક પર જવાની તૈયારી કરી રહ્યો છે.,2
તે હવે ઘરે આવી છે.,2
અમે રજૂઆત માટે તૈયાર નથી.,0
"દરરોજ કંઈક નવું અને સુંદર લાવે છે, અને હું દરેક ક્ષણનો મહત્તમ ઉપયોગ કરવા માટે સંકલ્પબદ્ધ છું.",1
મને આ ન ગમ્યું.,0
તે આજે રમી રહ્યો હતો.,2
તમારા નિશ્ચયને કારણે તમે દરેક લક્ષ્યને પ્રાપ્ત કરશો.,1
હું હમણાં થોડું કામ કરી રહ્યો છું.,2
હું આ પરિસ્થિતિમાં આરામદાયક અનુભવતો નથી.,0
"આજે, હું ખૂબ વ્યસ્ત છું.",2
આ કામ પૂરું થાય છે.,2
અમે સમયસર કામ પૂરું કરી શકતા નથી.,0
હું નિરાશા પછી નિરાશાનો સામનો કરીને થાકી ગયો છું; જ્યારે એવું લાગે કે કશું બદલાતું નથી ત્યારે આગળ વધવું ચાલુ રાખવું મુશ્કેલ છે.,0
તમે કઈ કસોટી પર આધાર રાખો છો?,2
આજે મારી તબિયત સારી નથી.,0
હું આ વિષયથી પરિચિત નથી.,0
આજે શનિવાર છે,2
હું મારી જાતે વાંચું છું.,2
આજે શુક્રવાર છે,2
આજે આભાર માનવા માટે ઘણું બધું છે અને હું મારા જીવનની સારી બાબતો પર ધ્યાન કેન્દ્રિત કરવાનું પસંદ કરી રહ્યો છું.,1
સખત મહેનત અને સમર્પણ શ્રેષ્ઠ પરિણામ આપે છે.,1
આ એક સુંદર અનુભવ હતો.,1
તે શહેરમાં રહે છે.,2
અમે આજે મળી શકતા નથી.,0
આ સામાન્ય વાત છે.,2
હું અત્યારે ખૂબ જ હતાશ છું કારણ કે હું ગમે તેટલા પ્રયત્નો કરું તો પણ મને લાગે છે કે મને કંઈ જ મળતું નથી.,0
તમારી મહેનત તમને આગળ લઈ જશે.,1
મને એ શો જોવામાં રસ નથી.,0
"આજે, મારે કેટલાક નક્કર જ્ઞાનની જરૂર છે.",2
હું ક્યાંક જવાનો હતો.,2
કોઈ ખાસ નથી.,2
"હું અત્યારે ખૂબ જ અટવાયેલો અનુભવું છું, જેમ કે હું નિરાશા અને નકારાત્મકતાના ક્યારેય સમાપ્ત ન થનારા ચક્રમાં ફસાઈ ગયો છું જેમાંથી હું બહાર નીકળી શકતો નથી.",0
તમારો નિશ્ચય ગતિશીલ અને કાર્યક્ષમ છે.,1
હું શાંતિથી કામ કરી રહ્યો છું.,2
તે અન્ય લોકો સાથે વાત કરી રહ્યો છે.,2
તે આગળ વધી રહ્યો છે.,2
"આજે હવામાન ન તો ખૂબ ગરમ છે કે ન તો ખૂબ ઠંડુ, બસ... સંપૂર્ણ સરેરાશ.",2
તેઓ સ્પર્ધામાં ભાગ લેતા નથી.,0
તે આજના નકામા કલાકોનો ઉપયોગ કરી રહ્યો છે.,2
તે ગમે ત્યારે ઘરમાં રહી શકે છે.,2
તેને મસાલેદાર ખોરાક ખાવાનું પસંદ નથી.,0
"દરેક નાની સિદ્ધિ, ભલે ગમે તેટલી નાની હોય, તે ઉજવણી કરવાનું અને હું કેટલો આગળ આવ્યો છું તેના પર ગર્વ કરવાનું કારણ છે.",1
મને આજે રાત્રે બહાર જવામાં રસ નથી.,0
હું શોધી રહ્યો હતો તે પુસ્તિકા મને મળી નથી.,0
મને નથી લાગતું કે તે આવશે.,0
તમારું સકારાત્મક વલણ દરેક માટે આનંદદાયક છે.,1
તમે જે પણ શરૂ કરશો તે સફળ થશે.,1
તેણી કેવી રીતે તરવું તે જાણતી નથી.,0
આજે હું શાંતિથી રહું છું.,2
મને ફર્ક નથી પડતો.,2
"આજે એક નવી શરૂઆત છે, અને હું દરેક ક્ષણને હકારાત્મકતા અને આશા સાથે સ્વીકારું છું.",1
તે દરરોજ સવારે તાજા ફળો ખાય છે.,2
તમારું જીવન આનંદ અને ખુશીઓથી ભરેલું છે.,1
હું આજે સવારે ઊઠ્યો હતો.,2
"આજે, હું કોઈપણ નકારાત્મકતાને છોડી દેવાનું પસંદ કરું છું અને મારી આસપાસના આનંદ અને સંભાવનાને સ્વીકારું છું.",1
"મેં આજે એક નવી શ્રેણીના કેટલાક એપિસોડ જોયા; તે રસપ્રદ છે, પરંતુ અત્યાર સુધી કંઈ ખૂબ રોમાંચક નથી.",2
તમારું સ્મિત સમગ્ર વિશ્વને પ્રકાશિત કરે છે.,1
હું થોડો આરામ કરવા જાઉં છું.,2
તમે તમારા જીવનમાં મહાન ઉંચાઈઓ પર પહોંચી શકો છો.,1
તમે મહેનત દ્વારા કાર્ય પૂર્ણ કરશો.,1
આવું સુંદર સ્થળ મેં ક્યારેય જોયું નથી.,0
તેને કેવી રીતે વાહન ચલાવવું તે આવડતું નથી.,0
તે સારો છોકરો નથી,0
આ ગુણવત્તા ખૂબ જ સારી છે.,1
તમે જે બનવા માંગો છો તે બની શકો છો.,1
તમે આજે કંઈક મહાન કરી રહ્યા છો.,1
તે રવિવારે કામ કરતી નથી.,0
આ ખરાબ લાગ્યું.,0
તે એક શોપિંગ મોલમાં હતી.,2
મારે આ મુદ્દા પર કંઈક કહેવું નથી.,2
હું તમારી સાથે દલીલ કરવાનો નથી.,0
તમારી દ્રષ્ટિ પ્રેરક છે.,1
તમે જીવનના તમામ પડકારોને પાર કરશો.,1
અમે ત્યાં જવા માંગતા નથી.,0
આ દિવસ ખૂબ સામાન્ય રહ્યો.,2
તે નિષ્પક્ષ અને તટસ્થ પત્રકાર બનવાનો પ્રયત્ન કરે છે,2
તેની પાસે આ ક્ષેત્રમાં કોઈ અનુભવ નથી.,0
જ્યારે પણ તમને મદદની જરૂર હોય ત્યારે હું અહીં છું.,1
હું સ્ટેશન પર હતો.,2
હું તમારા બહાના સાંભળવા માંગતો નથી.,0
"તે થોડા મુશ્કેલ દિવસો રહ્યા છે, અને હું મદદ કરી શકતો નથી પરંતુ મને લાગે છે કે કંઈપણ ક્યારેય સુધરવાનું નથી, પછી ભલે હું ગમે તે કરું.",0
તેઓ મારી વિનંતી સ્વીકારી રહ્યા નથી.,0
આ એક સામાન્ય મકાન છે.,2
આ સૌથી ઉત્તમ છે.,1
મને હવે તેના પર વિશ્વાસ નથી.,0
હું એક નવી ફિલ્મ જોઈ રહ્યો છું.,2
શ્રેષ્ઠતા તરફ તમારી દ્રષ્ટિ અને માન્યતાઓ શક્તિશાળી છે.,1
તેને સવારે વહેલું જાગવું ગમતું નથી.,0
ત્યારે હું શાંતિથી સૂતો હતો.,2
તેને મારા અભિપ્રાયની પરવા નથી.,0
અમે ઇવેન્ટમાં હાજરી આપીશું નહીં.,0
દરેક કાર્યમાં શ્રેષ્ઠ પરિણામ મેળવવાનું તમારું નસીબ છે.,1
આ વાતનો કોઈ ખાસ મતલબ નથી.,2
અમને અત્યારે કોઈ મદદની જરૂર નથી.,0
તમારો ઉત્સાહ ચેપી છે.,1
દરેક સમસ્યાનો ઉકેલ સકારાત્મક વિચારસરણીમાં રહેલો છે.,1
તમારી નાણાકીય અને માનસિક સુખાકારી મહત્વપૂર્ણ છે.,1
"હું તાજેતરમાં ખૂબ જ ભરાઈ ગયો છું, બધું એકસાથે ભેગા થઈ ગયું છે, અને મને ખાતરી નથી કે તે બધું કેવી રીતે મેનેજ કરવું.",0
મને હવે તેના પર વિશ્વાસ નથી.,0
તે હવે બહાર જવાનો છે.,2
દરેક દિવસ એક નવી તક છે.,1
હું પુસ્તકો વાંચતો હતો. ,2
તેને માંસ ખાવાનું પસંદ નથી.,0
હું જૂથમાં જોડાવા માંગતો નથી.,0
આ સમાન છે.,2
આજનો દિવસ ખરાબ છે.,0
તે પોતાની જાતને જોઈ રહી છે.,2
"વિશ્વ તકોથી ભરેલું છે, અને હું ખુલ્લા દિલ અને દિમાગ સાથે મારી રીતે જે પણ આવે તેને સ્વીકારવા તૈયાર છું.",1
તમારું જે સ્વપ્ન છે તે ખૂબ જ સારી રીતે સાકાર થશે.,1
"હું ઈચ્છું છું તે જીવન બનાવવાની મારી પાસે શક્તિ છે, અને આજે હું જે પણ નાની ક્રિયા કરું છું તે સાચી દિશામાં એક પગલું છે.",1
"હું કેટલો આગળ આવ્યો છું તેના પર મને ગર્વ છે, અને હું જાણું છું કે હું જે પણ પગલું ભરું છું તે મને મારા લક્ષ્યોની નજીક લઈ જાય છે.",1
આ જીવનનો શ્રેષ્ઠ દિવસ છે.,1
આ કામ સાત વાગે શરૂ થયું હતું.,2
તમારા માર્ગદર્શક બનવું એ આશીર્વાદ છે.,1
આજે ગુરુવાર છે,2
આ મહિનો ખરાબ નથી,1
આ મહિનો સારો નથી,0
તમે વધુ પ્રભાવશાળી બની રહ્યા છો.,1
હું હમણાં જ વિરામ લઈ રહ્યો છું.,2
તે હવે જાદુ શીખી રહ્યો છે.,2
તેને પ્લેનમાં મુસાફરી કરવાનું પસંદ નથી.,0
"હું તાજેતરમાં ખૂબ જ તણાવનો સામનો કરી રહ્યો છું, અને એવું લાગે છે કે તે મારા સ્વાસ્થ્ય અને સુખકારી પર અસર કરવાનું શરૂ કરી રહ્યું છે.",0
હું નવી રીતે કામ કરી રહ્યો છું.,2
આજે મારે થોડો આરામ કરવો છે.,2
"દરરોજ એક યુદ્ધ જેવું લાગે છે, અને હું ફક્ત તેમાંથી પસાર થવાનો પ્રયાસ કરી રહ્યો છું, પરંતુ તે તે જ સમયે કંટાળાજનક અને નિરાશાજનક છે.",0
તેઓ તમને રૂમમાં પ્રવેશવા દેશે નહીં.,0
હું આવા વર્તનને સહન કરીશ નહીં.,0
આ એક નિત્યનો કાર્ય છે.,2
તમે ક્યારે પાછા જાવ છો?,2
હું ભૂત-પ્રેતમાં માનતો નથી.,0
હું સારા સમયની રાહ જોઈ રહ્યો છું.,2
હું આખરે વાત કરું છું.,2
આજે રવિવાર છે,2
"હું આજે સવારે ભારે હૃદય સાથે જાગી ગયો છું, મારા જીવનમાં સતત તણાવ અને અનિશ્ચિતતાથી થાકી ગયો છું.",0
આ સ્થાન સૌથી ખરાબ છે.,0
આ અઠવાડિયું સારું નથી,0
એક દિવસ તમારી મહેનતનું ફળ મળશે.,1
હું મારી ચાવી શોધી શકતો નથી.,0
હું આજે બજારમાં નથી જતો.,0
"મારી મિત્ર સાથે કેટલીક આગામી ઘટનાઓ વિશે વાતચીત થઈ હતી, અને તે ઉપરાંત, રાહ જોવી અને વસ્તુઓ કેવી રીતે પ્રગટ થાય છે તે જોવાનું વધુ સારું છે.",2
